Date,series ,open,high,low,PREV. CLOSE ,ltp ,close,vwap ,52W H,52W L,VOLUME,VALUE ,No of trades 
2022-05-24,EQ,17149.00,17278.30,16853.10,16994.30,17135.05,17187.10,17137.23,20609.15,16000.00,92410.00,1583651208.85,19539.00
2022-05-23,EQ,17059.95,17370.00,16911.30,16862.00,17050.00,16994.30,17094.98,20609.15,16000.00,103173.00,1763740694.65,26239.00
2022-05-20,EQ,16321.00,16960.00,16250.05,16094.25,16769.00,16862.00,16776.14,20609.15,16000.00,152477.00,2557976003.00,32467.00
2022-05-19,EQ,16170.00,16244.95,16000.00,16343.60,16130.00,16094.25,16086.78,20609.15,16000.00,70502.00,1134150210.85,26863.00
2022-05-18,EQ,16323.40,16418.35,16212.00,16323.40,16330.00,16343.60,16330.43,20609.15,16126.75,96009.00,1567868442.55,28760.00
2022-05-17,EQ,16390.00,16390.00,16164.65,16218.85,16325.00,16323.40,16315.29,20609.15,16126.75,86305.00,1408091428.35,20183.00
2022-05-16,EQ,16502.00,16520.00,16134.45,16402.95,16200.75,16218.85,16239.93,20609.15,16126.75,52483.00,852320120.35,16576.00
2022-05-13,EQ,16490.00,16562.30,16304.90,16220.00,16380.90,16402.95,16428.08,20609.15,16126.75,55439.00,910756374.30,19532.00
2022-05-12,EQ,16484.50,16484.50,16126.75,16512.40,16225.00,16220.00,16225.04,20609.15,16126.75,71776.00,1164568687.05,24000.00
2022-05-11,EQ,16520.60,16639.10,16234.90,16520.60,16501.00,16512.40,16438.42,20609.15,16234.90,61787.00,1015680686.40,24721.00
2022-05-10,EQ,16640.00,16680.00,16401.00,16504.35,16560.00,16520.60,16531.08,20609.15,16401.00,67177.00,1110508270.60,23546.00
2022-05-09,EQ,16993.45,17055.30,16450.00,16995.45,16510.90,16504.35,16623.14,20609.15,16450.00,115147.00,1914104897.10,29195.00
2022-05-06,EQ,17499.80,17599.70,16975.00,17603.75,17015.00,16995.45,17138.33,20609.15,16272.65,89997.00,1542397875.00,27064.00
